source,target
HUVEC,aliskiren
HUVEC,aliskiren
HUVEC,aliskiren
HUVEC,aliskiren
HUVEC,aliskiren
HUVEC,aliskiren
HUVEC,aliskiren
HUVEC,aliskiren
HUVEC,PF-04620110
HUVEC,quinine
HUVEC,quinine
HUVEC,quinine
HUVEC,quinine
HUVEC,quinine
HUVEC,quinine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,felodipine
HUVEC,GDC-0834
HUVEC,amlexanox
HUVEC,amlexanox
HUVEC,amlexanox
HUVEC,amlexanox
HUVEC,amlexanox
HUVEC,amlexanox
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,flumazenil
HUVEC,repaglinide
HUVEC,repaglinide
HUVEC,repaglinide
HUVEC,repaglinide
HUVEC,repaglinide
HUVEC,repaglinide
HUVEC,repaglinide
HUVEC,repaglinide
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,chloroquine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,paroxetine
HUVEC,balsalazide
HUVEC,balsalazide
HUVEC,donitriptan
HUVEC,donitriptan
HUVEC,donitriptan
HUVEC,Y-26763
HUVEC,Y-26763
HUVEC,lamivudine
HUVEC,FR-180204
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,bromocriptine
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,nortriptyline
HUVEC,bimatoprost
HUVEC,bimatoprost
HUVEC,bimatoprost
HUVEC,bimatoprost
HUVEC,bimatoprost
HUVEC,GSK-J1
HUVEC,GSK-J1
HUVEC,adapalene
HUVEC,adapalene
HUVEC,adapalene
HUVEC,adapalene
HUVEC,adapalene
HUVEC,adapalene
HUVEC,adapalene
HUVEC,BAY-K8644
HUVEC,MBX-2982
HUVEC,capecitabine
HUVEC,capecitabine
HUVEC,capecitabine
HUVEC,capecitabine
HUVEC,capecitabine
HUVEC,desvenlafaxine
HUVEC,desvenlafaxine
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,clonazepam
HUVEC,TAK-715
HUVEC,TAK-715
HUVEC,MLN-8054
HUVEC,diltiazem
HUVEC,diltiazem
HUVEC,diltiazem
HUVEC,diltiazem
HUVEC,diltiazem
