id,type
HUVEC,cell
aliskiren,drug
PF-04620110,drug
quinine,drug
felodipine,drug
GDC-0834,drug
amlexanox,drug
flumazenil,drug
repaglinide,drug
chloroquine,drug
paroxetine,drug
balsalazide,drug
donitriptan,drug
Y-26763,drug
lamivudine,drug
FR-180204,drug
bromocriptine,drug
nortriptyline,drug
bimatoprost,drug
GSK-J1,drug
adapalene,drug
BAY-K8644,drug
MBX-2982,drug
capecitabine,drug
desvenlafaxine,drug
clonazepam,drug
TAK-715,drug
MLN-8054,drug
diltiazem,drug
diazoxide,drug
bezafibrate,drug
pirenzepine,drug
SB-216763,drug
BMS-599626,drug
doxofylline,drug
SGX-523,drug
clofibric-acid,drug
brivanib,drug
ACE2,gene
AGT,gene
CMA1,gene
CPA3,gene
CTSG,gene
CTSZ,gene
ENPEP,gene
REN,gene
DGAT1,gene
ABCB1,gene
CYP2D6,gene
GP9,gene
KCNB2,gene
KCNN4,gene
SLC29A4,gene
CACNA1C,gene
CACNA1D,gene
CACNA1H,gene
CACNA1S,gene
CACNA2D1,gene
CACNA2D2,gene
CACNB2,gene
CALM1,gene
CALM2,gene
CALM3,gene
CFTR,gene
NR3C2,gene
PDE1A,gene
PDE1B,gene
TNNC1,gene
TNNC2,gene
BTK,gene
FGF1,gene
IL3,gene
PPID,gene
S100A12,gene
S100A13,gene
S100A9,gene
GABRA2,gene
GABRA3,gene
GABRA4,gene
GABRA5,gene
GABRA6,gene
GABRB1,gene
GABRB2,gene
GABRB3,gene
GABRD,gene
GABRE,gene
GABRG1,gene
GABRG2,gene
GABRG3,gene
GABRP,gene
GABRQ,gene
ABCC8,gene
CYP2C8,gene
CYP3A5,gene
INS,gene
KCNJ1,gene
KCNJ11,gene
PPARG,gene
SLCO1B1,gene
GSTA2,gene
MAP2K1,gene
MAP2K2,gene
MRGPRX1,gene
NQO2,gene
SLC22A18,gene
TLR9,gene
TNF,gene
ADRBK1,gene
CHRM1,gene
CHRM4,gene
CHRM5,gene
CYP2B6,gene
GNG2,gene
GNG4,gene
GRK1,gene
SLC6A2,gene
SLC6A4,gene
ALOX5,gene
HTR1E,gene
HTR1F,gene
HTR5A,gene
ABCC9,gene
KCNJ8,gene
DCK,gene
MAPK3,gene
ADCY10,gene
ADRA1A,gene
ADRA1B,gene
ADRA1D,gene
ADRA2B,gene
ADRA2C,gene
DRD1,gene
DRD3,gene
DRD4,gene
GH1,gene
HTR1B,gene
HTR1D,gene
HTR2B,gene
HTR6,gene
HTR7,gene
PRL,gene
PRLR,gene
ADRB1,gene
ADRB2,gene
ADRB3,gene
HRH1,gene
KCNJ10,gene
PGRMC1,gene
PIK3CD,gene
SIGMAR1,gene
AKR1C3,gene
PTGER1,gene
PTGER3,gene
PTGFR,gene
PTGIR,gene
KDM6B,gene
UTY,gene
CRABP2,gene
RARA,gene
RARB,gene
RARG,gene
RXRA,gene
RXRB,gene
RXRG,gene
HCAR3,gene
CES2,gene
CES5A,gene
DPYD,gene
TYMP,gene
TYMS,gene
NR1I2,gene
TSPO,gene
MAPK14,gene
AURKA,gene
CACNG1,gene
CYP3A7,gene
EDN1,gene
HTR3A,gene
KCNA5,gene
ATP1A1,gene
CA1,gene
KCNMA1,gene
SLC12A3,gene
APOA1,gene
APOA2,gene
APOB,gene
APOE,gene
CETP,gene
CRAT,gene
HBE1,gene
HBG1,gene
HBG2,gene
HSD11B1,gene
LPL,gene
PPARA,gene
PPARD,gene
SERPINE1,gene
UCP3,gene
CDK2,gene
GSK3A,gene
GSK3B,gene
ERBB2,gene
ADORA2A,gene
PDE2A,gene
MET,gene
CYP3A4,gene
FGFR2,gene
FGFR3,gene
FLT1,gene
FLT4,gene
KCNH2,gene
KDR,gene
PDGFRA,gene
STK35,gene
