source,target
ketotifen,HRH1
ketotifen,HRH1
ketotifen,HRH1
ketotifen,PDE4A
ketotifen,PDE4B
ketotifen,PDE4C
ketotifen,PDE4D
ketotifen,PDE7A
ketotifen,PDE7B
ketotifen,PDE8A
ketotifen,PDE8B
ketotifen,PGD
PF-04620110,DGAT1
amlexanox,FGF1
amlexanox,FGF1
amlexanox,IL3
amlexanox,PPID
amlexanox,S100A12
amlexanox,S100A13
amlexanox,S100A9
masitinib,DDR1
masitinib,DDR2
masitinib,FGFR3
masitinib,KIT
masitinib,LYN
masitinib,PDGFRA
masitinib,PDGFRA
masitinib,PDGFRA
masitinib,PDGFRA
masitinib,PDGFRA
masitinib,PDGFRA
masitinib,PDGFRB
nortriptyline,ADRA1A
nortriptyline,ADRA1B
nortriptyline,ADRA1D
nortriptyline,ADRA2B
nortriptyline,ADRA2C
nortriptyline,ADRA2C
nortriptyline,ADRA2C
nortriptyline,ADRA2C
nortriptyline,ADRA2C
nortriptyline,ADRA2C
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB1
nortriptyline,ADRB2
nortriptyline,ADRB2
nortriptyline,ADRB2
nortriptyline,ADRB2
nortriptyline,ADRB2
nortriptyline,ADRB2
nortriptyline,ADRB2
nortriptyline,ADRB2
nortriptyline,ADRB3
nortriptyline,ADRB3
nortriptyline,ADRB3
nortriptyline,ADRB3
nortriptyline,ADRB3
nortriptyline,ADRB3
nortriptyline,ADRB3
nortriptyline,ADRB3
nortriptyline,CHRM1
nortriptyline,CHRM4
nortriptyline,CHRM5
nortriptyline,HRH1
nortriptyline,HRH1
nortriptyline,HRH1
nortriptyline,HTR6
nortriptyline,KCNJ10
nortriptyline,PGRMC1
nortriptyline,PIK3CD
nortriptyline,SIGMAR1
nortriptyline,SLC6A2
nortriptyline,SLC6A4
GSK-J1,KDM6B
GSK-J1,UTY
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,APOB
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,CRP
rosuvastatin,HMGCR
rosuvastatin,SLCO1B1
pirenzepine,ADCY10
pirenzepine,CHRM1
pirenzepine,CHRM4
pirenzepine,CHRM5
amoxapine,ADRA1A
amoxapine,ADRA1B
amoxapine,ADRA1D
amoxapine,ADRA2B
amoxapine,ADRA2C
amoxapine,ADRA2C
amoxapine,ADRA2C
amoxapine,ADRA2C
amoxapine,ADRA2C
amoxapine,ADRA2C
amoxapine,CHRM1
amoxapine,CHRM4
amoxapine,CHRM5
amoxapine,DRD1
amoxapine,DRD3
amoxapine,DRD4
amoxapine,GABRA2
amoxapine,GABRA3
amoxapine,GABRA4
amoxapine,GABRA5
amoxapine,GABRA6
amoxapine,GABRB1
amoxapine,GABRB2
amoxapine,GABRB3
amoxapine,GABRD
amoxapine,GABRE
amoxapine,GABRG1
amoxapine,GABRG2
amoxapine,GABRG3
amoxapine,GABRP
amoxapine,GABRQ
amoxapine,HRH1
amoxapine,HRH1
amoxapine,HRH1
amoxapine,HRH4
amoxapine,HTR1B
amoxapine,HTR2B
amoxapine,HTR2B
amoxapine,HTR2B
amoxapine,HTR2B
amoxapine,HTR2B
amoxapine,HTR2B
amoxapine,HTR2B
amoxapine,HTR3A
amoxapine,HTR6
amoxapine,HTR7
amoxapine,SLC6A2
amoxapine,SLC6A3
amoxapine,SLC6A4
GDC-0834,BTK
SGX-523,MET
aliskiren,ACE2
aliskiren,ACE2
aliskiren,ACE2
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,AGT
aliskiren,CMA1
aliskiren,CPA3
aliskiren,CTSG
aliskiren,CTSZ
aliskiren,ENPEP
aliskiren,REN
aliskiren,REN
aliskiren,REN
aliskiren,REN
aliskiren,REN
aliskiren,REN
aliskiren,REN
aliskiren,REN
aliskiren,REN
capecitabine,CES2
capecitabine,CES5A
capecitabine,DPYD
capecitabine,TYMP
capecitabine,TYMS
bezafibrate,APOA1
bezafibrate,APOA2
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOB
bezafibrate,APOE
bezafibrate,APOE
bezafibrate,APOE
bezafibrate,APOE
bezafibrate,APOE
bezafibrate,APOE
bezafibrate,APOE
bezafibrate,APOE
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CETP
bezafibrate,CRAT
bezafibrate,HBE1
bezafibrate,HBG1
bezafibrate,HBG2
bezafibrate,HSD11B1
bezafibrate,HSD11B1
bezafibrate,HSD11B1
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,LPL
bezafibrate,NR1I2
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARA
bezafibrate,PPARD
bezafibrate,PPARD
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,PPARG
bezafibrate,RXRA
bezafibrate,RXRB
bezafibrate,RXRG
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,SERPINE1
bezafibrate,UCP3
FR-180204,MAPK3
FR-180204,MAPK3
lamivudine,DCK
cytarabine,AICDA
cytarabine,BCR
cytarabine,CDA
cytarabine,DCK
cytarabine,NT5C
cytarabine,NT5C1A
cytarabine,NT5C1B-RDH14
cytarabine,NT5C2
cytarabine,NT5C3A
cytarabine,NT5C3B
cytarabine,NT5E
cytarabine,NT5M
cytarabine,POLA1
cytarabine,POLB
cytarabine,SLC28A1
cytarabine,SLC28A3
cytarabine,SLC29A1
cytarabine,SLC29A2
cytarabine,SLC29A3
cytarabine,ST6GAL1
cytarabine,UCK1
cytarabine,UCK2
cytarabine,UCKL1
HRH1,Hypotension
HRH1,Atherosclerosis
HRH1,Atherogenesis
PDE4B,Myocardial Ischemia
FGF1,Hypotension
FGF1,Myocardial Ischemia
PDGFRA,Heart failure
PDGFRA,Congestive heart failure
PDGFRA,Left-Sided Heart Failure
PDGFRA,"Heart Failure, Right-Sided"
PDGFRA,Myocardial Failure
PDGFRA,Heart Decompensation
ADRA1B,Hypotension
ADRA2C,Heart failure
ADRA2C,Congestive heart failure
ADRA2C,Left-Sided Heart Failure
ADRA2C,"Heart Failure, Right-Sided"
ADRA2C,Myocardial Failure
ADRA2C,Heart Decompensation
ADRB1,Hypertensive disease
ADRB1,Cardiovascular Diseases
ADRB1,Heart failure
ADRB1,Congestive heart failure
ADRB1,Left-Sided Heart Failure
ADRB1,"Heart Failure, Right-Sided"
ADRB1,Myocardial Failure
ADRB1,Heart Decompensation
ADRB1,Endomyocardial Fibrosis
ADRB1,Myocardial Ischemia
ADRB1,Hyperemia
ADRB1,Venous Engorgement
ADRB1,Reactive Hyperemia
ADRB1,Active Hyperemia
ADRB2,Hyperlipidemia
ADRB2,Lipidemias
ADRB2,"Cardiomyopathies, Primary"
ADRB2,"Myocardial Diseases, Secondary"
ADRB2,Hypokalemia
ADRB2,Myocardial Ischemia
ADRB2,Insulin Resistance
ADRB2,Insulin Sensitivity
ADRB3,Hyperlipidemia
ADRB3,Lipidemias
ADRB3,Heart failure
ADRB3,Congestive heart failure
ADRB3,Left-Sided Heart Failure
ADRB3,"Heart Failure, Right-Sided"
ADRB3,Myocardial Failure
ADRB3,Heart Decompensation
HRH1,Hypotension
HRH1,Atherosclerosis
HRH1,Atherogenesis
SLC6A2,Hypertensive disease
APOB,Hyperlipidemia
APOB,Lipidemias
APOB,Cardiovascular Diseases
APOB,Dyslipidemias
APOB,Dyslipoproteinemias
APOB,Hypertriglyceridemia
APOB,"Hypobetalipoproteinemia, Familial, Apolipoprotein B"
APOB,Familial hypobetalipoproteinemia
APOB,Acanthocytosis With Hypobetalipoproteinemia
CRP,Hypertensive disease
CRP,Cardiovascular Diseases
CRP,Heart failure
CRP,Congestive heart failure
CRP,Hypertriglyceridemia
CRP,Left-Sided Heart Failure
CRP,"Heart Failure, Right-Sided"
CRP,Myocardial Failure
CRP,Heart Decompensation
CRP,Atherosclerosis
CRP,Atherogenesis
CRP,Myocardial Ischemia
CRP,Thrombus
ADRA1B,Hypotension
ADRA2C,Heart failure
ADRA2C,Congestive heart failure
ADRA2C,Left-Sided Heart Failure
ADRA2C,"Heart Failure, Right-Sided"
ADRA2C,Myocardial Failure
ADRA2C,Heart Decompensation
DRD1,Hypotension
HRH1,Hypotension
HRH1,Atherosclerosis
HRH1,Atherogenesis
HTR1B,Hypotension
HTR2B,Hypertensive disease
HTR2B,Heart failure
HTR2B,Congestive heart failure
HTR2B,Left-Sided Heart Failure
HTR2B,"Heart Failure, Right-Sided"
HTR2B,Myocardial Failure
HTR2B,Heart Decompensation
SLC6A2,Hypertensive disease
ACE2,Hypertensive disease
ACE2,Endomyocardial Fibrosis
ACE2,"Aortic Aneurysm, Abdominal"
AGT,Hypertensive disease
AGT,Cardiovascular Diseases
AGT,Heart failure
AGT,Congestive heart failure
AGT,Left-Sided Heart Failure
AGT,"Heart Failure, Right-Sided"
AGT,Myocardial Failure
AGT,Heart Decompensation
AGT,Hypotension
AGT,Atherosclerosis
AGT,Atherogenesis
AGT,Endomyocardial Fibrosis
AGT,Malignant Hypertension
AGT,"Cardiomyopathies, Primary"
AGT,"Myocardial Diseases, Secondary"
AGT,Hypokalemia
AGT,Myocardial Ischemia
AGT,"Aortic Aneurysm, Abdominal"
AGT,Alkalosis
AGT,Hyperemia
AGT,Venous Engorgement
AGT,Reactive Hyperemia
AGT,Active Hyperemia
AGT,Thrombus
CMA1,Hypertensive disease
REN,Hypertensive disease
REN,Heart failure
REN,Congestive heart failure
REN,Left-Sided Heart Failure
REN,"Heart Failure, Right-Sided"
REN,Myocardial Failure
REN,Heart Decompensation
REN,Hypotension
REN,Malignant Hypertension
APOA1,Hypertensive disease
APOB,Hyperlipidemia
APOB,Lipidemias
APOB,Cardiovascular Diseases
APOB,Dyslipidemias
APOB,Dyslipoproteinemias
APOB,Hypertriglyceridemia
APOB,"Hypobetalipoproteinemia, Familial, Apolipoprotein B"
APOB,Familial hypobetalipoproteinemia
APOB,Acanthocytosis With Hypobetalipoproteinemia
APOE,Hyperlipidemia
APOE,Lipidemias
APOE,Hypertensive disease
APOE,Cardiovascular Diseases
APOE,Dyslipidemias
APOE,Dyslipoproteinemias
APOE,Atherosclerosis
APOE,Atherogenesis
CETP,Hyperlipidemia
CETP,Lipidemias
CETP,Hypertensive disease
CETP,Cardiovascular Diseases
CETP,Dyslipidemias
CETP,Dyslipoproteinemias
CETP,Hypertriglyceridemia
CETP,Atherosclerosis
CETP,Atherogenesis
HSD11B1,Hypertensive disease
HSD11B1,Insulin Resistance
HSD11B1,Insulin Sensitivity
LPL,Hyperlipidemia
LPL,Lipidemias
LPL,Hypertensive disease
LPL,Cardiovascular Diseases
LPL,Dyslipidemias
LPL,Dyslipoproteinemias
LPL,Hypertriglyceridemia
LPL,"Cardiomyopathies, Primary"
LPL,"Myocardial Diseases, Secondary"
PPARA,Hyperlipidemia
PPARA,Lipidemias
PPARA,Hypertensive disease
PPARA,Dyslipidemias
PPARA,Dyslipoproteinemias
PPARA,Hypertriglyceridemia
PPARA,Insulin Resistance
PPARA,Insulin Sensitivity
PPARA,Abdominal obesity metabolic syndrome
PPARD,"Cardiomyopathies, Primary"
PPARD,"Myocardial Diseases, Secondary"
PPARG,Hypertensive disease
PPARG,Dyslipidemias
PPARG,Dyslipoproteinemias
PPARG,Heart failure
PPARG,Congestive heart failure
PPARG,Left-Sided Heart Failure
PPARG,"Heart Failure, Right-Sided"
PPARG,Myocardial Failure
PPARG,Heart Decompensation
PPARG,Atherosclerosis
PPARG,Atherogenesis
PPARG,Insulin Resistance
PPARG,Insulin Sensitivity
RXRG,Myocardial Ischemia
SERPINE1,Hypertensive disease
SERPINE1,Heart failure
SERPINE1,Congestive heart failure
SERPINE1,Left-Sided Heart Failure
SERPINE1,"Heart Failure, Right-Sided"
SERPINE1,Myocardial Failure
SERPINE1,Heart Decompensation
SERPINE1,Atherosclerosis
SERPINE1,Atherogenesis
SERPINE1,Thrombus
MAPK3,"Cardiomyopathies, Primary"
MAPK3,"Myocardial Diseases, Secondary"
