id,type,Class
ketotifen,drug,NA
PF-04620110,drug,NA
amlexanox,drug,NA
masitinib,drug,NA
nortriptyline,drug,NA
GSK-J1,drug,NA
rosuvastatin,drug,NA
pirenzepine,drug,NA
amoxapine,drug,NA
GDC-0834,drug,NA
SGX-523,drug,NA
aliskiren,drug,NA
capecitabine,drug,NA
bezafibrate,drug,NA
FR-180204,drug,NA
lamivudine,drug,NA
cytarabine,drug,NA
HRH1,gene,NA
PDE4A,gene,NA
PDE4B,gene,NA
PDE4C,gene,NA
PDE4D,gene,NA
PDE7A,gene,NA
PDE7B,gene,NA
PDE8A,gene,NA
PDE8B,gene,NA
PGD,gene,NA
DGAT1,gene,NA
FGF1,gene,NA
IL3,gene,NA
PPID,gene,NA
S100A12,gene,NA
S100A13,gene,NA
S100A9,gene,NA
DDR1,gene,NA
DDR2,gene,NA
FGFR3,gene,NA
KIT,gene,NA
LYN,gene,NA
PDGFRA,gene,NA
PDGFRB,gene,NA
ADRA1A,gene,NA
ADRA1B,gene,NA
ADRA1D,gene,NA
ADRA2B,gene,NA
ADRA2C,gene,NA
ADRB1,gene,NA
ADRB2,gene,NA
ADRB3,gene,NA
CHRM1,gene,NA
CHRM4,gene,NA
CHRM5,gene,NA
HTR6,gene,NA
KCNJ10,gene,NA
PGRMC1,gene,NA
PIK3CD,gene,NA
SIGMAR1,gene,NA
SLC6A2,gene,NA
SLC6A4,gene,NA
KDM6B,gene,NA
UTY,gene,NA
APOB,gene,NA
CRP,gene,NA
HMGCR,gene,NA
SLCO1B1,gene,NA
ADCY10,gene,NA
DRD1,gene,NA
DRD3,gene,NA
DRD4,gene,NA
GABRA2,gene,NA
GABRA3,gene,NA
GABRA4,gene,NA
GABRA5,gene,NA
GABRA6,gene,NA
GABRB1,gene,NA
GABRB2,gene,NA
GABRB3,gene,NA
GABRD,gene,NA
GABRE,gene,NA
GABRG1,gene,NA
GABRG2,gene,NA
GABRG3,gene,NA
GABRP,gene,NA
GABRQ,gene,NA
HRH4,gene,NA
HTR1B,gene,NA
HTR2B,gene,NA
HTR3A,gene,NA
HTR7,gene,NA
SLC6A3,gene,NA
BTK,gene,NA
MET,gene,NA
ACE2,gene,NA
AGT,gene,NA
CMA1,gene,NA
CPA3,gene,NA
CTSG,gene,NA
CTSZ,gene,NA
ENPEP,gene,NA
REN,gene,NA
CES2,gene,NA
CES5A,gene,NA
DPYD,gene,NA
TYMP,gene,NA
TYMS,gene,NA
APOA1,gene,NA
APOA2,gene,NA
APOE,gene,NA
CETP,gene,NA
CRAT,gene,NA
HBE1,gene,NA
HBG1,gene,NA
HBG2,gene,NA
HSD11B1,gene,NA
LPL,gene,NA
NR1I2,gene,NA
PPARA,gene,NA
PPARD,gene,NA
PPARG,gene,NA
RXRA,gene,NA
RXRB,gene,NA
RXRG,gene,NA
SERPINE1,gene,NA
UCP3,gene,NA
MAPK3,gene,NA
DCK,gene,NA
AICDA,gene,NA
BCR,gene,NA
CDA,gene,NA
NT5C,gene,NA
NT5C1A,gene,NA
NT5C1B-RDH14,gene,NA
NT5C2,gene,NA
NT5C3A,gene,NA
NT5C3B,gene,NA
NT5E,gene,NA
NT5M,gene,NA
POLA1,gene,NA
POLB,gene,NA
SLC28A1,gene,NA
SLC28A3,gene,NA
SLC29A1,gene,NA
SLC29A2,gene,NA
SLC29A3,gene,NA
ST6GAL1,gene,NA
UCK1,gene,NA
UCK2,gene,NA
UCKL1,gene,NA
Hyperlipidemia,indication,Nutritional and Metabolic Diseases
Lipidemias,indication,Nutritional and Metabolic Diseases
Hypokalemia,indication,Nutritional and Metabolic Diseases
Insulin Resistance,indication,Nutritional and Metabolic Diseases
Insulin Sensitivity,indication,Nutritional and Metabolic Diseases
Dyslipidemias,indication,Nutritional and Metabolic Diseases
Dyslipoproteinemias,indication,Nutritional and Metabolic Diseases
Hypertriglyceridemia,indication,Nutritional and Metabolic Diseases
"Hypobetalipoproteinemia, Familial, Apolipoprotein B",indication,Nutritional and Metabolic Diseases
Familial hypobetalipoproteinemia,indication,Nutritional and Metabolic Diseases
Acanthocytosis With Hypobetalipoproteinemia,indication,Nutritional and Metabolic Diseases
Alkalosis,indication,Nutritional and Metabolic Diseases
Abdominal obesity metabolic syndrome,indication,Nutritional and Metabolic Diseases
