treatment_label,sample_ID,n
Albutein A-20024,FACS2021-05-18_A02,1028
Albutein A-20024,FACS2021-05-18_B02,1206
Albutein A-20024,FACS2021-05-18_C02,1337
Albutein A-20024,FACS2021-05-18_D02,1510
Albutein A-20024,FACS2021-05-18_E01,1809
Albutein A-20024,FACS2021-05-18_F01,2158
Albutein A-20024,FACS2021-05-18_G01,2421
Albutein A-20024,FACS2021-05-18_H01,1222
Albutein A-20024,FACS2021-06-15_A03,1150
Albutein A-20024,FACS2021-06-15_B03,1041
Albutein A-20024,FACS2021-06-15_C03,864
Albutein A-20024,FACS2021-06-15_D03,1488
Albutein A-20024,FACS2021-06-15_E04,2429
Albutein A-20024,FACS2021-06-15_F04,933
Albutein A-20024,FACS2021-06-15_G04,3769
Albutein A-20024,FACS2021-06-15_H04,3089
Albutein A-20024,FACS2022-01-25_A06,2488
Albutein A-20024,FACS2022-01-25_B06,3376
Albutein A-20024,FACS2022-01-25_C06,3573
Albutein A-20024,FACS2022-01-25_D06,3862
Albutein A-20024,FACS2022-01-25_E07,2881
Albutein A-20024,FACS2022-01-25_F07,3649
Albutein A-20024,FACS2022-01-25_G07,3669
Albutein A-20024,FACS2022-01-25_H07,4762
Vehicle ALK-53760,FACS2021-05-18_A01,3145
Vehicle ALK-53760,FACS2021-05-18_B01,3349
Vehicle ALK-53760,FACS2021-05-18_C01,1490
Vehicle ALK-53760,FACS2021-05-18_D01,2609
Vehicle ALK-53760,FACS2021-05-18_E02,2418
Vehicle ALK-53760,FACS2021-05-18_F02,2353
Vehicle ALK-53760,FACS2021-05-18_G02,3042
Vehicle ALK-53760,FACS2021-05-18_H02,2916
Vehicle ALK-53760,FACS2021-06-15_A04,1025
Vehicle ALK-53760,FACS2021-06-15_B04,1096
Vehicle ALK-53760,FACS2021-06-15_C04,1773
Vehicle ALK-53760,FACS2021-06-15_D04,1347
Vehicle ALK-53760,FACS2021-06-15_E03,2142
Vehicle ALK-53760,FACS2021-06-15_F03,2197
Vehicle ALK-53760,FACS2021-06-15_G03,2006
Vehicle ALK-53760,FACS2021-06-15_H03,2547
Vehicle ALK-53760,FACS2022-01-25_A07,2852
Vehicle ALK-53760,FACS2022-01-25_B07,2949
Vehicle ALK-53760,FACS2022-01-25_C07,3655
Vehicle ALK-53760,FACS2022-01-25_D07,3707
Vehicle ALK-53760,FACS2022-01-25_E06,4477
Vehicle ALK-53760,FACS2022-01-25_F06,3978
Vehicle ALK-53760,FACS2022-01-25_G06,4163
Vehicle ALK-53760,FACS2022-01-25_H06,4185
