ID,Description,source,Ratio,BgRatio,pvalue,FDR,disease_class,disease_class_name,disease_semantic_type,shared_geneid,shared_symbol,Count,gg,sig
C0278883,Metastatic melanoma,CURATED,17/213,54/9703,7.980732394365248e-16,1.2896863549294242e-12,C04,Neoplasms,Neoplastic Process,2475;2534;2046;2043;6790;5747;658;2050;9175;5156;150094;2045;3702;2324;4293;4294;11184,MTOR;FYN;EPHA8;EPHA4;AURKA;PTK2;BMPR1B;EPHB4;MAP3K13;PDGFRA;SIK1;EPHA7;ITK;FLT4;MAP3K9;MAP3K10;MAP4K1,17,0.06938775510204082,TRUE
C0278701,Gastric Adenocarcinoma,CURATED,15/213,45/9703,1.5955175428731245e-14,1.2891781746414845e-11,C04;C06,Neoplasms;Digestive System Diseases,Neoplastic Process,2046;5159;1432;2065;658;2050;1969;558;6098;4916;3702;10188;4293;2047;50488,EPHA8;PDGFRB;MAPK14;ERBB3;BMPR1B;EPHB4;EPHA2;AXL;ROS1;NTRK3;ITK;TNK2;MAP3K9;EPHB1;MINK1,15,0.061224489795918366,TRUE
C1319315,Adenocarcinoma of large intestine,CURATED,19/213,96/9703,1.807125770898237e-13,9.734384152571836e-11,C04;C06,Neoplasms;Digestive System Diseases,Neoplastic Process,5728;2261;1956;2064;4233;2066;29110;4914;6790;7297;3815;4193;5979;5604;6098;2045;51086;5063;79858,PTEN;FGFR3;EGFR;ERBB2;MET;ERBB4;TBK1;NTRK1;AURKA;TYK2;KIT;MDM2;RET;MAP2K1;ROS1;EPHA7;TNNI3K;PAK3;NEK11,19,0.07755102040816327,TRUE
C0149782,Squamous cell carcinoma of lung,CURATED,12/213,32/9703,1.4310677307935809e-12,4.625210905924853e-10,C04;C08,Neoplasms;Respiratory Tract Diseases,Neoplastic Process,2263;780;1956;2534;2066;2042;1436;1969;4921;6795;2044;8491,FGFR2;DDR1;EGFR;FYN;ERBB4;EPHA3;CSF1R;EPHA2;DDR2;AURKC;EPHA5;MAP4K3,12,0.04897959183673469,TRUE
C0345958,Large cell carcinoma of lung,CURATED,12/213,32/9703,1.4310677307935809e-12,4.625210905924853e-10,C04;C08,Neoplasms;Respiratory Tract Diseases,Neoplastic Process,25;2475;695;4750;2042;6098;4921;4916;2044;660;10746;65975,ABL1;MTOR;BTK;NEK1;EPHA3;ROS1;DDR2;NTRK3;EPHA5;BMX;MAP3K2;STK33,12,0.04897959183673469,TRUE
C0007131,Non-Small Cell Lung Carcinoma,CURATED,22/213,156/9703,2.9117108384663404e-12,6.721892449945152e-10,C04;C08,Neoplasms;Respiratory Tract Diseases,Neoplastic Process,2263;5728;1571;1956;2064;2475;3791;4233;6774;7422;238;1728;5243;3815;4193;5894;5979;5604;558;4751;5605;6098,FGFR2;PTEN;CYP2E1;EGFR;ERBB2;MTOR;KDR;MET;STAT3;VEGFA;ALK;NQO1;ABCB1;KIT;MDM2;RAF1;RET;MAP2K1;AXL;NEK2;MAP2K2;ROS1,22,0.08979591836734693,TRUE
C0152013,Adenocarcinoma of lung (disorder),CURATED,25/213,206/9703,2.775124148725289e-12,6.721892449945152e-10,C04,Neoplasms,Neoplastic Process,2263;2261;1956;2064;3791;238;2046;4915;4750;2042;1432;1454;2321;5894;5604;6098;4921;2264;3645;9748;4916;6795;10188;2044;8711,FGFR2;FGFR3;EGFR;ERBB2;KDR;ALK;EPHA8;NTRK2;NEK1;EPHA3;MAPK14;CSNK1E;FLT1;RAF1;MAP2K1;ROS1;DDR2;FGFR4;INSRR;SLK;NTRK3;AURKC;TNK2;EPHA5;TNK1,25,0.10204081632653061,TRUE
C0006826,Malignant Neoplasms,CURATED,20/213,128/9703,4.273171999213089e-12,8.631807438410439e-10,C04,Neoplasms,Neoplastic Process,5728;1956;2064;2099;2475;3791;4233;7422;1728;6790;3757;5243;2042;2065;1436;3815;4193;5979;1969;5604,PTEN;EGFR;ERBB2;ESR1;MTOR;KDR;MET;VEGFA;NQO1;AURKA;KCNH2;ABCB1;EPHA3;ERBB3;CSF1R;KIT;MDM2;RET;EPHA2;MAP2K1,20,0.08163265306122448,TRUE
C0525045,Mood Disorders,CURATED,22/213,168/9703,1.3253682268322075e-11,2.3797722828453857e-9,F03,Mental Disorders,Mental or Behavioral Dysfunction,2932;2099;7422;6532;627;367;3066;3351;3363;4915;6530;6531;3361;152;9248;153;9759;3065;2247;4916;147;3362,GSK3B;ESR1;VEGFA;SLC6A4;BDNF;AR;HDAC2;HTR1B;HTR7;NTRK2;SLC6A2;SLC6A3;HTR5A;ADRA2C;GPR50;ADRB1;HDAC4;HDAC1;FGF2;NTRK3;ADRA1B;HTR6,22,0.08979591836734693,TRUE
C0036341,Schizophrenia,CURATED,51/213,883/9703,7.750023420030974e-11,1.2524037846770055e-8,F03,Mental Disorders,Mental or Behavioral Dysfunction,2263;2932;780;1571;2099;2100;2475;3791;4233;6532;886;627;2534;5970;238;1812;3066;3363;4915;6530;6531;148;3383;2066;4914;3757;5243;3269;3361;5159;1432;1454;2065;9248;79837;9759;1111;3065;1132;1128;2247;1133;9734;1234;4916;8841;1577;3362;4543;3355;23043,FGFR2;GSK3B;DDR1;CYP2E1;ESR1;ESR2;MTOR;KDR;MET;SLC6A4;CCKAR;BDNF;FYN;RELA;ALK;DRD1;HDAC2;HTR7;NTRK2;SLC6A2;SLC6A3;ADRA1A;ICAM1;ERBB4;NTRK1;KCNH2;ABCB1;HRH1;HTR5A;PDGFRB;MAPK14;CSNK1E;ERBB3;GPR50;PIP4K2C;HDAC4;CHEK1;HDAC1;CHRM4;CHRM1;FGF2;CHRM5;HDAC9;CCR5;NTRK3;HDAC3;CYP3A5;HTR6;MTNR1A;HTR1F;TNIK,51,0.20816326530612245,TRUE
